Site;Sitio #;Sitio nombre;Fecha (m/d/a);Hora(0:00-24:00);Viento;Cielo;Rio;Especies;Num. 0-50;Num. >50-100;Num. >100;Sex;1;2;3;4;5;6;7;8;9;10;11;12;Sequence;Nota
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;PSAMON;2;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;AMACYC*;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;PSIMOR;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;CYAMEL;3;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;SALATR;2;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;ARCCOL;1;;;M;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;MELAUR;1;;;M;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;2/10/2016;08:02;0;3;0;EMPMIN;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;03/19/2016;08:15;1;0;0;AMACYC*;1;;;;;;;;;;;;;;;;B/G/M;
1;1F;El Plan de Tule #1;03/19/2016;08:15;1;0;0;FALSPA;1;;;;;;;;;;;;;;;;B/G/M;
1;1F;El Plan de Tule #1;03/19/2016;08:15;1;0;0;GLABRA;1;;;;;;;;;;;;;;;;B/G/M;
1;1F;El Plan de Tule #1;03/19/2016;08:15;1;0;0;CYCGUJ;1;;;;;;;;;;;;;;;;B/G/M;
1;1F;El Plan de Tule #1;03/19/2016;08:15;1;0;0;CORATR;2;;;;;;;;;;;;;;;;B/G/M;
1;1F;El Plan de Tule #1;03/19/2016;08:15;1;0;0;CAEAUR*;4;;;;;;;;;;;;;;;;B/G/M;
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;SALATR;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;ICTCHR;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;DIVDIV;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;MELFOR;1;;;;;;;;;;;;;;;;G/B/M;
1;1F;El Plan de Tule #1;03/31/2016;07:25;2;0;0;PSIMOR;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;2/10/2016;08:54;0;4;0;HYLLEU;2;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;2/10/2016;08:54;0;4;0;CANMOD;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;2/10/2016;08:54;0;4;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;2/10/2016;08:54;0;4;0;AMACYC*;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;2/10/2016;08:54;0;4;0;DIVDIV;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;AIMRUS*;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;CORATR;4;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;BUTANT;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;PSIMOR;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;ICTCHR;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;AMACYC*;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;SETVIR;1;;;H;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;CANMOD;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;HYLLEU;1;;;M;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/19/2016;09:13;1;0;0;SPINOT;1;;;;;;;;;;;;;;;;G/B/M;
2;2F;El Plan de Tule #2;03/31/2016;08:20;4;0;0;CANMOD;1;;;;;;;;;;;;;;;;B/G/M;Mucho viento
2;2F;El Plan de Tule #2;03/31/2016;08:20;4;0;0;CAEAUR*;2;;;;;;;;;;;;;;;;B/G/M;
2;2F;El Plan de Tule #2;03/31/2016;08:20;4;0;0;HYLLEU;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;VERPIN;1;;;M;;;;;;;;;;15;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;PSAMON;3;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;TOLSUL;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;MELAUR;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;TURGRA;4;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;EMPFLT*;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;QUIMEX;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;DIVDIV;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;MNIVAR;1;;;M;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;ICTGAL;2;;;H,M;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;PITSUL;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;AMACYC*;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;PIRRUB;1;;;H;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;SETPEN;3;;;M;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;SETVIR;1;;;M;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;VIRFLF*;2;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;EUPHIR;1;;;M;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/17/2016;11:25;1;0;0;OREPER;1;;;;;;;;;;;;;;;;B/G/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;SETPEN;1;;;M;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;PITSUL;1;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;AMACYC*;1;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;DIVDIV;2;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;MELAUR;2;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;TURGRA;3;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;SETRUT;1;;;H;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;SETMAG;1;;;M;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;SETVIR;1;;;M;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;CORATR;2;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;LEPSOU;2;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;TOLSUL;1;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;TITSEM;2;;;;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;EUPHIR;1;;;M;;;;;;;;;;;;;G/B/M;
3;3C;Norma Café;03/31/2016;12:00;2;0;0;ICTGAL;1;;;M;;;;;;;;;;;;;G/B/M;
4;4F;Norma Fragment;03/17/2016;14:18;2;0;0;MELFOR;1;;;M;;;;;;;;;;;;;G/B/M;
4;4F;Norma Fragment;03/17/2016;14:18;2;0;0;PSIMOR;1;;;;;;;;;;;;;;;;G/B/M;
4;4F;Norma Fragment;03/17/2016;14:18;2;0;0;DIVDIV;1;;;;;;;;;;;;;;;;G/B/M;
4;4F;Norma Fragment;03/17/2016;14:18;2;0;0;MYICRI;1;;;;;;;;;;;;;;;;G/B/M;
4;4F;Norma Fragment;03/31/2016;10:50;3;0;0;ZENASI;3;;;;;;;;;;;;;;;;B/G/M;
4;4F;Norma Fragment;03/31/2016;10:50;3;0;0;PSIMOR;1;;;;;;;;;;;;;;;;B/G/M;
4;4F;Norma Fragment;03/31/2016;10:50;3;0;0;AMARUT;1;;;;;;;;;;;;;;;;B/G/M;
4;4F;Norma Fragment;03/31/2016;10:50;3;0;0;SETPIM*;1;;;;;;;;;;;;;;;;B/G/M;
4;4F;Norma Fragment;03/31/2016;10:50;3;0;0;CAEAUR*;1;;;;;;;;;;;;;;;;B/G/M;
5;5C;Elias Café;02/23/2016;09:12;2;0;0;VERCRY;1;;;M;;;;;;;;;;;;15;B/G/M;Observado con anillo rojo y azul
5;5C;Elias Café;02/23/2016;09:12;2;0;0;MELAUR;2;;;;;;;;;;;;;;;;B/G/M;
5;5C;Elias Café;02/23/2016;09:12;2;0;0;SETPIM*;1;;;;;;;;;;;;;;;;B/G/M;
5;5C;Elias Café;02/23/2016;09:12;2;0;0;EMPFLT*;1;;;;;;;;;;;;;;;;B/G/M;
5;5C;Elias Café;02/23/2016;09:12;2;0;0;CARPUS;1;;;M;;;;;;;;;;;;;B/G/M;
5;5C;Elias Café;02/23/2016;09:12;2;0;0;SETVIR;2;;;M,H;;;;;;;;;;;;;B/G/M;
5;5C;Elias Café;02/23/2016;09:12;2;0;0;SETMAG;1;;;H;;;;;;;;;;;;;B/G/M;
5;5C;Elias Café;02/23/2016;09:12;2;0;0;SETGRA;1;;;M;;;;;;;;;;;;;B/G/M;
5;5C;Elias Café;02/23/2016;09:12;2;0;0;MNIVAR;1;;;M;;;;;;;;;;;;;B/G/M;
5;5C;Elias Café;02/23/2016;09:12;2;0;0;MYITUB;1;;;;;;;;;;;;;;;;B/G/M;
5;5C;Elias Café;02/23/2016;09:12;2;0;0;SETPEN;1;;;H;;;;;;;;;;;;;B/G/M;
5;5C;Elias Café;03/15/2016;09:38;1;0;0;VERCRY;1;;;M;;;;;;;;;;;;12;G/B/M;
5;5C;Elias Café;03/15/2016;09:38;1;0;0;PSAMON;1;;;;;;;;;;;;;;;;G/B/M;
5;5C;Elias Café;03/15/2016;09:38;1;0;0;SETVIR;4;;;M;;;;;;;;;;;;;G/B/M;
5;5C;Elias Café;03/15/2016;09:38;1;0;0;SETPIM*;1;;;;;;;;;;;;;;;;G/B/M;
5;5C;Elias Café;03/15/2016;09:38;1;0;0;SETPEN;1;;;M;;;;;;;;;;;;;G/B/M;
5;5C;Elias Café;03/15/2016;09:38;1;0;0;MELAUR;2;;;;;;;;;;;;;;;;G/B/M;
5;5C;Elias Café;03/15/2016;09:38;1;0;0;SETMAG;1;;;M;;;;;;;;;;;;;G/B/M;
5;5C;Elias Café;03/15/2016;09:38;1;0;0;VIRPHI;2;;;;;;;;;;;;;;;;G/B/M;
5;5C;Elias Café;03/15/2016;09:38;1;0;0;LEPSOU;1;;;;;;;;;;;;;;;;G/B/M;
5;5C;Elias Café;03/15/2016;09:38;1;0;0;VIRFLF*;1;;;;;;;;;;;;;;;;G/B/M;
6;6C;Finca de Horacio;3/5/2016;10:35;1;2;1;COLRUB;1;;;;;;;;;;;;;;;;G/B/M;
6;6C;Finca de Horacio;3/5/2016;10:35;1;2;1;PTETOR;1;;;;;;;;;;;;;;;;G/B/M;
6;6C;Finca de Horacio;3/5/2016;10:35;1;2;1;LEPVEX*;1;;;;;;;;;;;;;;;;G/B/M;
6;6C;Finca de Horacio;3/5/2016;10:35;1;2;1;PSAMON;1;;;;;;;;;;;;;;;;G/B/M;
6;6C;Finca de Horacio;3/5/2016;10:35;1;2;1;EMPFLT*;1;;;;;;;;;;;;;;;;G/B/M;
6;6C;Finca de Horacio;3/5/2016;10:35;1;2;1;CYAMEL;1;;;;;;;;;;;;;;;;G/B/M;
6;6C;Finca de Horacio;3/5/2016;10:35;1;2;1;HENLES*;1;;;;;;;;;;;;;;;;G/B/M;
6;6C;Finca de Horacio;3/5/2016;10:35;1;2;1;TROCAL;1;;;;;;;;;;;;;;;;G/B/M;
6;6C;Finca de Horacio;3/5/2016;10:35;1;2;1;SETPIM*;1;;;;;;;;;;;;;;;;G/B/M;
6;6C;Finca de Horacio;3/5/2016;10:35;1;2;1;SETVIR;2;;;M;;;;;;;;;;;;;G/B/M;
6;6C;Finca de Horacio;3/5/2016;10:35;1;2;1;SETMAG;1;;;;;;;;;;;;;;;;G/B/M;
6;6C;Finca de Horacio;3/5/2016;10:35;1;2;1;VIRFLF*;1;;;;;;;;;;;;;;;;G/B/M;
7;7F;Finca de Horacio;3/5/2016;12:34;2;2;0;CANMOD;1;;;;;;;;;;;;;;;;G/B/M;
7;7F;Finca de Horacio;3/5/2016;12:34;2;2;0;CORATR;5;;;;;;;;;;;;;;;;G/B/M;
7;7F;Finca de Horacio;3/5/2016;12:34;2;2;0;AMACYC*;3;;;;;;;;;;;;;;;;G/B/M;
7;7F;Finca de Horacio;3/5/2016;12:34;2;2;0;AIMRUS*;1;;;;;;;;;;;;;;;;G/B/M;
7;7F;Finca de Horacio;3/5/2016;12:34;2;2;0;CAEAUR*;1;;;;;;;;;;;;;;;;G/B/M;
7;7F;Finca de Horacio;3/5/2016;12:34;2;2;0;GLABRA;3;;;;;;;;;;;;;;;;G/B/M;
8;8F;Finca de Elias (Near);02/18/2016;08:25;0;1;0;CAEAUR*;1;;;;;;;;;;;;;;;;G/B/M;
8;8F;Finca de Elias (Near);02/18/2016;08:25;0;1;0;AMAALB;2;;;;;;;;;;;;;;;;G/B/M;
8;8F;Finca de Elias (Near);02/18/2016;08:25;0;1;0;SETPIM*;1;;;;;;;;;;;;;;;;G/B/M;
8;8F;Finca de Elias (Near);02/18/2016;08:25;0;1;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M;
8;8F;Finca de Elias (Near);02/18/2016;08:25;0;1;0;PIRRUB;2;;;M,H;;;;;;;;;;;;;G/B/M;
8;8F;Finca de Elias (Near);02/18/2016;08:25;0;1;0;HYLLEU;1;;;H;;;;;;;;;;;;;G/B/M;
8;8F;Finca de Elias (Near);02/18/2016;08:25;0;1;0;SETVIR;1;;;M,H;;;;;;;;;;;;;G/B/M;
8;8F;Finca de Elias (Near);02/18/2016;08:25;0;1;0;DUMCAR;1;;;;;;;;;;;;;;;;G/B/M;
8;8F;Finca de Elias (Near);02/18/2016;08:25;0;1;0;BASRUF;1;;;;;;;;;;;;;;;;G/B/M;
8;8F;Finca de Elias (Near);02/18/2016;08:25;0;1;0;BUTANT;1;;;;;;;;;;;;;;;;G/B/M;
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;EMPFLT*;1;;;;;;;;;;;;;;;;B/G/M;
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;BUTMAG;1;;;;;;;;;;;;;;;;B/G/M;
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;GLABRA;1;;;;;;;;;;;;;;;;B/G/M;
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;PSAMON;2;;;;;;;;;;;;;;;;B/G/M;
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;SETVIR;1;;;;;;;;;;;;;;;;B/G/M;
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;CAEAUR*;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;BASRUF;2;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;PSAMON;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;DUMCAR;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;PHASTR;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;GLABRA;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;AMAALB;4;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;EMPFLT*;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;AIMRUS*;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;CANMOD;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;MELFOR;1;;;;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;BASRUF;1;;;;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;CANMOD;1;;;;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;SETVIR;2;;;M;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;MNIVAR;2;;;M;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;TROAED;1;;;;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;ACCCHI;1;;;;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;HYLLEU;1;;;M;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M;
9;9F;Finca de Norma (S Edge);03/15/2016;07:47;0;0;0;OREPER;2;;;M,H;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;SALATR;1;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;CARPUS;1;;;M;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;TROCAL;1;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;SALMAX;1;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;SETVIR;1;;;H;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;VIRPHI;3;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;AMARUT;2;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;3/8/2016;10:25;0;0;0;EMPFLT*;1;;;;;;;;;;;;;;;;G/B/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;VERCRY;1;;;M;;;;;;;;7;10;12;5;8;B/G/M;Individuo observado anillado
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;BASRUF;1;;;;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;MELAUR;1;;;;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;CARPUS;1;;;M;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;AULPRA;1;;;;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;PSAMON;1;;;;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;DUMCAR;1;;;;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;HENLEU;1;;;;;;;;;;;;;;;;B/G/M;
10;10C;Finca de Agusto Rojas;02/23/2016;07:40;4;1;0;SALATR;1;;;;;;;;;;;;;;;;B/G/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;VERCRY;1;;;H;;;;;;;;;;10;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;MELAUR;3;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;PIOSEN;6;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;CARPUS;1;;;M;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;PSAMON;4;;;;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;SETVIR;1;;;H;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;SETPEN;1;;;M;;;;;;;;;;;;;G/B/M;
12;12C;Finca de Ovidio;02/112016;11:00;0;2;0;VIRPHI;1;;;;;;;;;;;;;;;;G/B/M;
